S.No;Project Title;Student;Organization;Website URL
 ; ; ; ; 
1;Improving Series Expansions;Sidharth Mundhra;SymPy;http://sympy.org
2;System V Message Queues;Zyad Ali;gVisor;http://gvisor.dev
3;Work on Message view projects and other issues in the surrounding areas.;Dinesh Chidipothu;Zulip;https://zulip.com
4;Performance Tracking in CI;Jack FENG;Halide;https://halide-lang.org
5;CoAP protocol endpoint for Drogue IoT;Pranav Bhatt;JBoss Community;http://www.jboss.org/
6;Cloud Native Buildpacks [CNCF] Project: Automatic Buildpack Registry Action Updates;Mritunjay Sharma;CNCF;http://cncf.io
7;Adding Multi-omics data support to ABioTrans Plus;Mohamed Soudy-1;National Resource for Network Biology (NRNB);https://nrnb.org/gsoc.html
8;ODK-X: Improving Services User-Interface;Varun Tiwari;Digital Impact Alliance (DIAL) at UN Foundation;https://www.digitalimpactalliance.org/
9;dart-casbin;Mohit Singh;Casbin;https://casbin.org/
10;Catalyst Crosscompiling and Revamp;Mark Joseph Kuebel;Gentoo Foundation;http://www.gentoo.org/
11;A system for collaborative visualization of large network layouts using FURY;Bruno Messias;Python Software Foundation;https://www.python.org/
12;Right Sidebar for Hydrogen client;Midhun Suresh R;Matrix.org;https://matrix.org/
13;Improving the compose box and the user interface of Zulip web;Priyam Seth;Zulip;https://zulip.com
14;New Build System and improving CI/CD workflow;Avinal;FOSSology;https://www.fossology.org/
15;MuZero implementation;Michał Łukomski;The Julia Language;https://julialang.org
16;Urban Tree Canopy Detection Using Satellite and Aerial Imagery;Aditi Sawant;Mayor's Office of New Urban Mechanics (City of Boston);http://www.boston.gov/mechanics
17;Examining the Coccinelle’s Handleability of All Function Headers Found in the Linux Kernel;Keisuke Nishimura;The Linux Foundation;http://www.linuxfoundation.org/
18;Building checkers/mappings for known package lists;Muhammed Suhail A H;Python Software Foundation;https://www.python.org/
19;New Rule Generation Technique & Make Quark Everywhere Among Security Open Source Projects;Yu-Shiang Dang;The Honeynet Project;https://honeynet.org
20;Proposal for Zulip - GSoC 2021;Gaurav Pandey (ligmitz);Zulip;https://zulip.com
